Classifier,Test Object Images,Ground Truth,Selected by Classifier,True Positive,True Negative,False Positive,False Negative,Accuracy,Precision,Recall,F1-Score
yellow,glue_stick/glue_stick_1_4_146 (nan)      garlic/garlic_7_1_74 (nan)      camera/camera_2_1_72 (nan)      plate/plate_6_1_64 (nan)      tomato/tomato_1_4_101 (nan)      food_jar/food_jar_3_4_80 (nan)      ,plate/plate_6_1_64 (nan) ,plate/plate_6_1_64 (nan) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
Total - yellow,,,,,,,,1.0,1.0,1.0,1.0
 ,,,,,,,,,,,
looks,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      hand_towel/hand_towel_4_4_38 (nan)      instant_noodles/instant_noodles_1_1_119 (nan)      tomato/tomato_1_4_101 (nan)      ,instant_noodles/instant_noodles_1_1_119 (nan) hand_towel/hand_towel_4_4_38 (nan) ,hand_towel/hand_towel_4_4_38 (nan) instant_noodles/instant_noodles_1_1_119 (nan) ,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
looks,glue_stick/glue_stick_1_4_146 (nan)      lime/lime_4_1_15 (nan)      camera/camera_2_1_72 (nan)      instant_noodles/instant_noodles_1_1_119 (nan)      tomato/tomato_1_4_101 (nan)      food_jar/food_jar_3_4_80 (nan)      ,instant_noodles/instant_noodles_1_1_119 (nan) ,instant_noodles/instant_noodles_1_1_119 (nan) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
looks,glue_stick/glue_stick_1_4_146 (nan)      camera/camera_2_1_72 (nan)      instant_noodles/instant_noodles_1_1_119 (nan)      tomato/tomato_1_4_101 (nan)      food_jar/food_jar_3_4_80 (nan)      hand_towel/hand_towel_4_4_38 (nan)      ,instant_noodles/instant_noodles_1_1_119 (nan) hand_towel/hand_towel_4_4_38 (nan) ,hand_towel/hand_towel_4_4_38 (nan) instant_noodles/instant_noodles_1_1_119 (nan) ,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
looks,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      hand_towel/hand_towel_4_4_38 (nan)      instant_noodles/instant_noodles_1_1_119 (nan)      ,instant_noodles/instant_noodles_1_1_119 (nan) hand_towel/hand_towel_4_4_38 (nan) instant_noodles/instant_noodles_1_1_119 (nan) ,hand_towel/hand_towel_4_4_38 (nan) instant_noodles/instant_noodles_1_1_119 (nan) ,2.0,1.0,0.0,1.0,0.75,1.0,0.666666666667,0.8
looks,glue_stick/glue_stick_1_4_146 (nan)      lime/lime_4_1_15 (nan)      camera/camera_2_1_72 (nan)      instant_noodles/instant_noodles_1_1_119 (nan)      tomato/tomato_1_4_101 (nan)      food_jar/food_jar_3_4_80 (nan)      ,instant_noodles/instant_noodles_1_1_119 (nan) ,instant_noodles/instant_noodles_1_1_119 (nan) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
looks,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      hand_towel/hand_towel_4_4_38 (nan)      instant_noodles/instant_noodles_1_1_119 (nan)      tomato/tomato_1_4_101 (nan)      ,instant_noodles/instant_noodles_1_1_119 (nan) hand_towel/hand_towel_4_4_38 (nan) ,hand_towel/hand_towel_4_4_38 (nan) instant_noodles/instant_noodles_1_1_119 (nan) ,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
looks,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      hand_towel/hand_towel_4_4_38 (nan)      instant_noodles/instant_noodles_1_1_119 (nan)      ,instant_noodles/instant_noodles_1_1_119 (nan) hand_towel/hand_towel_4_4_38 (nan) ,hand_towel/hand_towel_4_4_38 (nan) instant_noodles/instant_noodles_1_1_119 (nan) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
looks,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      hand_towel/hand_towel_4_4_38 (nan)      instant_noodles/instant_noodles_1_1_119 (nan)      ,instant_noodles/instant_noodles_1_1_119 (nan) hand_towel/hand_towel_4_4_38 (nan) ,hand_towel/hand_towel_4_4_38 (nan) instant_noodles/instant_noodles_1_1_119 (nan) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
looks,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      hand_towel/hand_towel_4_4_38 (nan)      instant_noodles/instant_noodles_1_1_119 (nan)      tomato/tomato_1_4_101 (nan)      ,instant_noodles/instant_noodles_1_1_119 (nan) hand_towel/hand_towel_4_4_38 (nan) instant_noodles/instant_noodles_1_1_119 (nan) ,hand_towel/hand_towel_4_4_38 (nan) instant_noodles/instant_noodles_1_1_119 (nan) ,2.0,2.0,0.0,1.0,0.8,1.0,0.666666666667,0.8
looks,glue_stick/glue_stick_1_4_146 (nan)      camera/camera_2_1_72 (nan)      instant_noodles/instant_noodles_1_1_119 (nan)      tomato/tomato_1_4_101 (nan)      food_jar/food_jar_3_4_80 (nan)      hand_towel/hand_towel_4_4_38 (nan)      ,instant_noodles/instant_noodles_1_1_119 (nan) hand_towel/hand_towel_4_4_38 (nan) ,hand_towel/hand_towel_4_4_38 (nan) instant_noodles/instant_noodles_1_1_119 (nan) ,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
Total - looks,,,,,,,,0.9550000000000001,1.0,0.9333333333333332,0.96
 ,,,,,,,,,,,
keyboard,food_jar/food_jar_3_4_80 (nan)      keyboard/keyboard_5_4_130 (nan)      tomato/tomato_1_4_101 (nan)      camera/camera_2_1_72 (nan)      ,keyboard/keyboard_5_4_130 (nan) keyboard/keyboard_5_4_130 (nan) ,keyboard/keyboard_5_4_130 (nan) ,1.0,2.0,0.0,1.0,0.75,1.0,0.5,0.666666666667
keyboard,food_jar/food_jar_3_4_80 (nan)      keyboard/keyboard_5_4_130 (nan)      tomato/tomato_1_4_101 (nan)      glue_stick/glue_stick_1_4_146 (nan)      camera/camera_2_1_72 (nan)      ,keyboard/keyboard_5_4_130 (nan) ,keyboard/keyboard_5_4_130 (nan) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
keyboard,food_jar/food_jar_3_4_80 (nan)      keyboard/keyboard_5_4_130 (nan)      tomato/tomato_1_4_101 (nan)      glue_stick/glue_stick_1_4_146 (nan)      camera/camera_2_1_72 (nan)      ,keyboard/keyboard_5_4_130 (nan) ,keyboard/keyboard_5_4_130 (nan) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
keyboard,food_jar/food_jar_3_4_80 (nan)      keyboard/keyboard_5_4_130 (nan)      ,keyboard/keyboard_5_4_130 (nan) keyboard/keyboard_5_4_130 (nan) keyboard/keyboard_5_4_130 (nan) ,keyboard/keyboard_5_4_130 (nan) ,1.0,-1.0,0.0,2.0,0.0,1.0,0.333333333333,0.5
keyboard,food_jar/food_jar_3_4_80 (nan)      keyboard/keyboard_5_4_130 (nan)      tomato/tomato_1_4_101 (nan)      glue_stick/glue_stick_1_4_146 (nan)      camera/camera_2_1_72 (nan)      ,keyboard/keyboard_5_4_130 (nan) keyboard/keyboard_5_4_130 (nan) ,keyboard/keyboard_5_4_130 (nan) ,1.0,3.0,0.0,1.0,0.8,1.0,0.5,0.666666666667
keyboard,food_jar/food_jar_3_4_80 (nan)      keyboard/keyboard_5_4_130 (nan)      tomato/tomato_1_4_101 (nan)      camera/camera_2_1_72 (nan)      ,keyboard/keyboard_5_4_130 (nan) keyboard/keyboard_5_4_130 (nan) keyboard/keyboard_5_4_130 (nan) ,keyboard/keyboard_5_4_130 (nan) ,1.0,1.0,0.0,2.0,0.5,1.0,0.333333333333,0.5
keyboard,food_jar/food_jar_3_4_80 (nan)      keyboard/keyboard_5_4_130 (nan)      tomato/tomato_1_4_101 (nan)      camera/camera_2_1_72 (nan)      ,keyboard/keyboard_5_4_130 (nan) ,keyboard/keyboard_5_4_130 (nan) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
keyboard,food_jar/food_jar_3_4_80 (nan)      keyboard/keyboard_5_4_130 (nan)      tomato/tomato_1_4_101 (nan)      glue_stick/glue_stick_1_4_146 (nan)      camera/camera_2_1_72 (nan)      ,keyboard/keyboard_5_4_130 (nan) ,keyboard/keyboard_5_4_130 (nan) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
keyboard,food_jar/food_jar_3_4_80 (nan)      keyboard/keyboard_5_4_130 (nan)      tomato/tomato_1_4_101 (nan)      glue_stick/glue_stick_1_4_146 (nan)      camera/camera_2_1_72 (nan)      ,keyboard/keyboard_5_4_130 (nan) keyboard/keyboard_5_4_130 (nan) ,keyboard/keyboard_5_4_130 (nan) ,1.0,3.0,0.0,1.0,0.8,1.0,0.5,0.666666666667
keyboard,glue_stick/glue_stick_1_4_146 (nan)      keyboard/keyboard_5_4_130 (nan)      lime/lime_4_1_15 (nan)      camera/camera_2_1_72 (nan)      tomato/tomato_1_4_101 (nan)      food_jar/food_jar_3_4_80 (nan)      ,keyboard/keyboard_5_4_130 (nan) ,keyboard/keyboard_5_4_130 (nan) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
Total - keyboard,,,,,,,,0.7849999999999999,1.0,0.7166666666666666,0.8
 ,,,,,,,,,,,
dish,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      tomato/tomato_1_4_101 (nan)      bowl/bowl_1_1_179 (nan)      ,bowl/bowl_1_1_179 (nan) bowl/bowl_1_1_179 (nan) bowl/bowl_1_1_179 (nan) ,bowl/bowl_1_1_179 (nan) ,1.0,1.0,0.0,2.0,0.5,1.0,0.333333333333,0.5
dish,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      tomato/tomato_1_4_101 (nan)      bowl/bowl_1_1_179 (nan)      ,bowl/bowl_1_1_179 (nan) ,bowl/bowl_1_1_179 (nan) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
dish,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      tomato/tomato_1_4_101 (nan)      glue_stick/glue_stick_1_4_146 (nan)      bowl/bowl_1_1_179 (nan)      ,bowl/bowl_1_1_179 (nan) bowl/bowl_1_1_179 (nan) ,bowl/bowl_1_1_179 (nan) ,1.0,3.0,0.0,1.0,0.8,1.0,0.5,0.666666666667
dish,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      tomato/tomato_1_4_101 (nan)      glue_stick/glue_stick_1_4_146 (nan)      bowl/bowl_1_1_179 (nan)      ,bowl/bowl_1_1_179 (nan) bowl/bowl_1_1_179 (nan) ,bowl/bowl_1_1_179 (nan) ,1.0,3.0,0.0,1.0,0.8,1.0,0.5,0.666666666667
dish,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      bowl/bowl_1_1_179 (nan)      ,bowl/bowl_1_1_179 (nan) bowl/bowl_1_1_179 (nan) bowl/bowl_1_1_179 (nan) ,bowl/bowl_1_1_179 (nan) ,1.0,0.0,0.0,2.0,0.333333333333,1.0,0.333333333333,0.5
dish,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      tomato/tomato_1_4_101 (nan)      glue_stick/glue_stick_1_4_146 (nan)      bowl/bowl_1_1_179 (nan)      ,bowl/bowl_1_1_179 (nan) ,bowl/bowl_1_1_179 (nan) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
dish,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      tomato/tomato_1_4_101 (nan)      bowl/bowl_1_1_179 (nan)      ,bowl/bowl_1_1_179 (nan) bowl/bowl_1_1_179 (nan) ,bowl/bowl_1_1_179 (nan) ,1.0,2.0,0.0,1.0,0.75,1.0,0.5,0.666666666667
dish,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      bowl/bowl_1_1_179 (nan)      ,bowl/bowl_1_1_179 (nan) bowl/bowl_1_1_179 (nan) bowl/bowl_1_1_179 (nan) ,bowl/bowl_1_1_179 (nan) ,1.0,0.0,0.0,2.0,0.333333333333,1.0,0.333333333333,0.5
dish,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      tomato/tomato_1_4_101 (nan)      bowl/bowl_1_1_179 (nan)      ,bowl/bowl_1_1_179 (nan) bowl/bowl_1_1_179 (nan) bowl/bowl_1_1_179 (nan) ,bowl/bowl_1_1_179 (nan) ,1.0,1.0,0.0,2.0,0.5,1.0,0.333333333333,0.5
dish,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      tomato/tomato_1_4_101 (nan)      bowl/bowl_1_1_179 (nan)      ,bowl/bowl_1_1_179 (nan) ,bowl/bowl_1_1_179 (nan) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
Total - dish,,,,,,,,0.7016666666666667,1.0,0.5833333333333333,0.7
 ,,,,,,,,,,,
glue,glue_stick/glue_stick_1_4_146 (nan)      food_jar/food_jar_3_4_80 (nan)      tomato/tomato_1_4_101 (nan)      camera/camera_2_1_72 (nan)      ,glue_stick/glue_stick_1_4_146 (nan) ,glue_stick/glue_stick_1_4_146 (nan) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
glue,glue_stick/glue_stick_1_4_146 (nan)      food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      ,glue_stick/glue_stick_1_4_146 (nan) glue_stick/glue_stick_1_4_146 (nan) glue_stick/glue_stick_1_4_146 (nan) ,glue_stick/glue_stick_1_4_146 (nan) ,1.0,0.0,0.0,2.0,0.333333333333,1.0,0.333333333333,0.5
glue,food_can/food_can_10_4_167 (nan)      glue_stick/glue_stick_1_4_146 (nan)      garlic/garlic_7_1_74 (nan)      camera/camera_2_1_72 (nan)      tomato/tomato_1_4_101 (nan)      food_jar/food_jar_3_4_80 (nan)      ,glue_stick/glue_stick_1_4_146 (nan) ,glue_stick/glue_stick_1_4_146 (nan) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
glue,glue_stick/glue_stick_1_4_146 (nan)      food_jar/food_jar_3_4_80 (nan)      tomato/tomato_1_4_101 (nan)      camera/camera_2_1_72 (nan)      ,glue_stick/glue_stick_1_4_146 (nan) glue_stick/glue_stick_1_4_146 (nan) ,glue_stick/glue_stick_1_4_146 (nan) ,1.0,2.0,0.0,1.0,0.75,1.0,0.5,0.666666666667
glue,glue_stick/glue_stick_1_4_146 (nan)      food_jar/food_jar_3_4_80 (nan)      tomato/tomato_1_4_101 (nan)      camera/camera_2_1_72 (nan)      ,glue_stick/glue_stick_1_4_146 (nan) glue_stick/glue_stick_1_4_146 (nan) ,glue_stick/glue_stick_1_4_146 (nan) ,1.0,2.0,0.0,1.0,0.75,1.0,0.5,0.666666666667
glue,glue_stick/glue_stick_1_4_146 (nan)      food_jar/food_jar_3_4_80 (nan)      tomato/tomato_1_4_101 (nan)      camera/camera_2_1_72 (nan)      ,glue_stick/glue_stick_1_4_146 (nan) glue_stick/glue_stick_1_4_146 (nan) glue_stick/glue_stick_1_4_146 (nan) ,glue_stick/glue_stick_1_4_146 (nan) ,1.0,1.0,0.0,2.0,0.5,1.0,0.333333333333,0.5
glue,glue_stick/glue_stick_1_4_146 (nan)      food_jar/food_jar_3_4_80 (nan)      tomato/tomato_1_4_101 (nan)      camera/camera_2_1_72 (nan)      ,glue_stick/glue_stick_1_4_146 (nan) glue_stick/glue_stick_1_4_146 (nan) ,glue_stick/glue_stick_1_4_146 (nan) ,1.0,2.0,0.0,1.0,0.75,1.0,0.5,0.666666666667
glue,glue_stick/glue_stick_1_4_146 (nan)      food_jar/food_jar_3_4_80 (nan)      tomato/tomato_1_4_101 (nan)      camera/camera_2_1_72 (nan)      ,glue_stick/glue_stick_1_4_146 (nan) glue_stick/glue_stick_1_4_146 (nan) ,glue_stick/glue_stick_1_4_146 (nan) ,1.0,2.0,0.0,1.0,0.75,1.0,0.5,0.666666666667
glue,food_can/food_can_10_4_167 (nan)      glue_stick/glue_stick_1_4_146 (nan)      garlic/garlic_7_1_74 (nan)      camera/camera_2_1_72 (nan)      tomato/tomato_1_4_101 (nan)      food_jar/food_jar_3_4_80 (nan)      ,glue_stick/glue_stick_1_4_146 (nan) ,glue_stick/glue_stick_1_4_146 (nan) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
glue,glue_stick/glue_stick_1_4_146 (nan)      food_jar/food_jar_3_4_80 (nan)      tomato/tomato_1_4_101 (nan)      camera/camera_2_1_72 (nan)      ,glue_stick/glue_stick_1_4_146 (nan) glue_stick/glue_stick_1_4_146 (nan) glue_stick/glue_stick_1_4_146 (nan) ,glue_stick/glue_stick_1_4_146 (nan) ,1.0,1.0,0.0,2.0,0.5,1.0,0.333333333333,0.5
Total - glue,,,,,,,,0.7333333333333333,1.0,0.5999999999999999,0.7166666666666666
 ,,,,,,,,,,,
flashlight,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      flashlight/flashlight_3_1_142 (nan)      tomato/tomato_1_4_101 (nan)      ,flashlight/flashlight_3_1_142 (nan) flashlight/flashlight_3_1_142 (nan) ,flashlight/flashlight_3_1_142 (nan) ,1.0,2.0,0.0,1.0,0.75,1.0,0.5,0.666666666667
flashlight,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      flashlight/flashlight_3_1_142 (nan)      tomato/tomato_1_4_101 (nan)      ,flashlight/flashlight_3_1_142 (nan) flashlight/flashlight_3_1_142 (nan) flashlight/flashlight_3_1_142 (nan) ,flashlight/flashlight_3_1_142 (nan) ,1.0,1.0,0.0,2.0,0.5,1.0,0.333333333333,0.5
flashlight,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      flashlight/flashlight_3_1_142 (nan)      glue_stick/glue_stick_1_4_146 (nan)      tomato/tomato_1_4_101 (nan)      ,flashlight/flashlight_3_1_142 (nan) flashlight/flashlight_3_1_142 (nan) ,flashlight/flashlight_3_1_142 (nan) ,1.0,3.0,0.0,1.0,0.8,1.0,0.5,0.666666666667
flashlight,food_can/food_can_10_4_167 (nan)      glue_stick/glue_stick_1_4_146 (nan)      flashlight/flashlight_3_1_142 (nan)      camera/camera_2_1_72 (nan)      tomato/tomato_1_4_101 (nan)      food_jar/food_jar_3_4_80 (nan)      ,flashlight/flashlight_3_1_142 (nan) ,flashlight/flashlight_3_1_142 (nan) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
flashlight,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      flashlight/flashlight_3_1_142 (nan)      tomato/tomato_1_4_101 (nan)      ,flashlight/flashlight_3_1_142 (nan) flashlight/flashlight_3_1_142 (nan) ,flashlight/flashlight_3_1_142 (nan) ,1.0,2.0,0.0,1.0,0.75,1.0,0.5,0.666666666667
flashlight,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      flashlight/flashlight_3_1_142 (nan)      glue_stick/glue_stick_1_4_146 (nan)      tomato/tomato_1_4_101 (nan)      ,flashlight/flashlight_3_1_142 (nan) ,flashlight/flashlight_3_1_142 (nan) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
flashlight,food_can/food_can_10_4_167 (nan)      glue_stick/glue_stick_1_4_146 (nan)      flashlight/flashlight_3_1_142 (nan)      camera/camera_2_1_72 (nan)      tomato/tomato_1_4_101 (nan)      food_jar/food_jar_3_4_80 (nan)      ,flashlight/flashlight_3_1_142 (nan) ,flashlight/flashlight_3_1_142 (nan) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
flashlight,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      flashlight/flashlight_3_1_142 (nan)      ,flashlight/flashlight_3_1_142 (nan) flashlight/flashlight_3_1_142 (nan) ,flashlight/flashlight_3_1_142 (nan) ,1.0,1.0,0.0,1.0,0.666666666667,1.0,0.5,0.666666666667
flashlight,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      flashlight/flashlight_3_1_142 (nan)      glue_stick/glue_stick_1_4_146 (nan)      tomato/tomato_1_4_101 (nan)      ,flashlight/flashlight_3_1_142 (nan) flashlight/flashlight_3_1_142 (nan) ,flashlight/flashlight_3_1_142 (nan) ,1.0,3.0,0.0,1.0,0.8,1.0,0.5,0.666666666667
flashlight,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      flashlight/flashlight_3_1_142 (nan)      glue_stick/glue_stick_1_4_146 (nan)      tomato/tomato_1_4_101 (nan)      ,flashlight/flashlight_3_1_142 (nan) flashlight/flashlight_3_1_142 (nan) ,flashlight/flashlight_3_1_142 (nan) ,1.0,3.0,0.0,1.0,0.8,1.0,0.5,0.666666666667
Total - flashlight,,,,,,,,0.8066666666666666,1.0,0.6333333333333333,0.75
 ,,,,,,,,,,,
folded,food_jar/food_jar_3_4_80 (nan)      hand_towel/hand_towel_4_4_38 (nan)      ,hand_towel/hand_towel_4_4_38 (nan) hand_towel/hand_towel_4_4_38 (nan) hand_towel/hand_towel_4_4_38 (nan) ,hand_towel/hand_towel_4_4_38 (nan) ,1.0,-1.0,0.0,2.0,0.0,1.0,0.333333333333,0.5
folded,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      hand_towel/hand_towel_4_4_38 (nan)      glue_stick/glue_stick_1_4_146 (nan)      tomato/tomato_1_4_101 (nan)      ,hand_towel/hand_towel_4_4_38 (nan) ,hand_towel/hand_towel_4_4_38 (nan) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
folded,food_jar/food_jar_3_4_80 (nan)      hand_towel/hand_towel_4_4_38 (nan)      ,hand_towel/hand_towel_4_4_38 (nan) hand_towel/hand_towel_4_4_38 (nan) hand_towel/hand_towel_4_4_38 (nan) ,hand_towel/hand_towel_4_4_38 (nan) ,1.0,-1.0,0.0,2.0,0.0,1.0,0.333333333333,0.5
folded,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      hand_towel/hand_towel_4_4_38 (nan)      glue_stick/glue_stick_1_4_146 (nan)      tomato/tomato_1_4_101 (nan)      ,hand_towel/hand_towel_4_4_38 (nan) hand_towel/hand_towel_4_4_38 (nan) ,hand_towel/hand_towel_4_4_38 (nan) ,1.0,3.0,0.0,1.0,0.8,1.0,0.5,0.666666666667
folded,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      hand_towel/hand_towel_4_4_38 (nan)      ,hand_towel/hand_towel_4_4_38 (nan) hand_towel/hand_towel_4_4_38 (nan) ,hand_towel/hand_towel_4_4_38 (nan) ,1.0,1.0,0.0,1.0,0.666666666667,1.0,0.5,0.666666666667
folded,food_jar/food_jar_3_4_80 (nan)      hand_towel/hand_towel_4_4_38 (nan)      ,hand_towel/hand_towel_4_4_38 (nan) hand_towel/hand_towel_4_4_38 (nan) hand_towel/hand_towel_4_4_38 (nan) ,hand_towel/hand_towel_4_4_38 (nan) ,1.0,-1.0,0.0,2.0,0.0,1.0,0.333333333333,0.5
folded,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      hand_towel/hand_towel_4_4_38 (nan)      tomato/tomato_1_4_101 (nan)      ,hand_towel/hand_towel_4_4_38 (nan) hand_towel/hand_towel_4_4_38 (nan) ,hand_towel/hand_towel_4_4_38 (nan) ,1.0,2.0,0.0,1.0,0.75,1.0,0.5,0.666666666667
folded,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      hand_towel/hand_towel_4_4_38 (nan)      tomato/tomato_1_4_101 (nan)      ,hand_towel/hand_towel_4_4_38 (nan) hand_towel/hand_towel_4_4_38 (nan) hand_towel/hand_towel_4_4_38 (nan) ,hand_towel/hand_towel_4_4_38 (nan) ,1.0,1.0,0.0,2.0,0.5,1.0,0.333333333333,0.5
