Token,Type,0-apple/apple_1_1_188,0-ball/ball_1_2_185,0-banana/banana_2_4_195,0-bell_pepper/bell_pepper_1_4_138,0-binder/binder_3_2_50,0-bowl/bowl_1_1_179,0-calculator/calculator_3_4_11,0-camera/camera_2_1_72,0-cap/cap_4_2_163,0-cell_phone/cell_phone_1_2_110,0-cereal_box/cereal_box_2_4_33,0-coffee_mug/coffee_mug_3_2_160,0-comb/comb_1_4_193,0-dry_battery/dry_battery_1_1_65,0-flashlight/flashlight_3_1_142,0-food_bag/food_bag_1_2_138,0-food_box/food_box_5_2_134,0-food_can/food_can_10_4_167,0-food_cup/food_cup_2_2_74,0-food_jar/food_jar_3_4_80,0-garlic/garlic_7_1_74,0-glue_stick/glue_stick_1_4_146,0-greens/greens_1_2_89,0-hand_towel/hand_towel_4_4_38,0-instant_noodles/instant_noodles_1_1_119,0-keyboard/keyboard_5_4_130,0-kleenex/kleenex_3_4_214,0-lemon/lemon_2_4_188,0-lightbulb/lightbulb_4_1_36,0-lime/lime_4_1_15,0-marker/marker_4_1_75,0-mushroom/mushroom_3_2_154,0-notebook/notebook_2_1_170,0-onion/onion_4_2_44,0-orange/orange_3_1_145,0-peach/peach_3_2_234,0-pear/pear_2_4_64,0-pitcher/pitcher_2_1_44,0-plate/plate_6_1_64,0-pliers/pliers_4_1_184,0-potato/potato_5_1_106,0-rubber_eraser/rubber_eraser_3_4_143,0-scissors/scissors_3_4_107,0-shampoo/shampoo_6_1_230,0-soda_can/soda_can_3_4_5,0-sponge/sponge_5_4_261,0-stapler/stapler_3_4_88,0-tomato/tomato_1_4_101,0-toothbrush/toothbrush_4_2_39,0-toothpaste/toothpaste_1_4_71,0-water_bottle/water_bottle_7_1_97
battery,object,2.733812368275156e-11,0.0002951454579021098,9.376543569608511e-11,5.057846971978714e-10,7.028594502503756e-08,4.939171084082694e-07,9.6579978107549e-08,0.00036130726584900124,8.080686918215027e-08,5.299310067585204e-07,4.497437463220111e-09,1.8374264335599003e-05,1.4744840887252648e-05,0.9999999968507045,0.06343712244829035,7.314843291070515e-09,3.92830590904624e-07,8.062989287149447e-06,8.520260638599025e-12,0.0007640270787205317,0.00020580123605704547,0.0018549856757734868,5.878288605303486e-07,2.6635484646419456e-06,6.174530559368454e-06,2.8314692138347132e-08,9.568959710121393e-06,2.691506950615699e-05,1.56175894509186e-05,9.320462774591374e-09,5.146048487501615e-07,0.0013820484679232968,0.0001485550316742154,0.0006288754887819414,1.3815580833803298e-05,3.361284114139686e-09,0.0006290316989531831,0.0015169195110371627,0.000697640492760841,0.0013796656652918368,0.0012319902769907705,0.008670201942639824,3.859879573043656e-09,1.9272390085669624e-11,7.31601910202344e-05,1.0189330316746255e-06,1.4108483817172289e-05,0.0001223600050636442,8.910099381996303e-08,3.527517943569233e-10,5.988377241853884e-07
bell,object,3.3147171238547898e-09,4.155015621496714e-09,9.908678112498612e-08,0.9999999914787371,2.9263345388544633e-09,1.8328513670093997e-07,3.369800012681803e-09,0.0001075806585985805,8.682283945307013e-07,1.2122315204360123e-09,1.0017013473325465e-11,5.041232724060968e-05,2.900749120146771e-11,1.9744380558575622e-07,1.5660546662379744e-05,5.729443393843619e-12,7.17435130688111e-07,9.788045502647092e-05,1.0033701460002286e-15,9.081042072813009e-07,0.0006887606872940401,5.121562784823654e-05,0.0043968445050749285,3.7810947584212294e-06,2.3499054806762263e-09,3.2186876126770946e-06,1.0695240656590046e-06,1.2778049873748577e-06,2.232383680044386e-10,0.22942847980910241,0.003427746543339923,9.945308501308194e-07,0.00014277717473230877,1.2118058048497125e-07,0.013064230203233143,1.8917290576519535e-07,0.0005482363895198156,1.3783292717582603e-06,1.1397999415888045e-05,0.0001283656563603861,0.0003013025838267612,0.00022609704103252715,1.3411165136599626e-14,5.908951771081422e-13,3.100059089033936e-05,2.6716148725452454e-06,3.05961248731461e-08,0.001129377804704758,2.008557956074392e-11,4.9117753188375356e-12,8.252304869714914e-08
binder,object,7.74856143092813e-12,5.544723944821978e-07,7.29067845205563e-11,2.388216034574501e-12,0.9999999354360252,3.322329154830282e-05,6.71500029030194e-09,5.174481830888187e-06,1.9494596077799116e-08,4.861531267976379e-06,4.3361970678075714e-08,0.00011065282086429697,1.5277335738075774e-06,3.820836261393432e-06,9.518029841610504e-05,3.261600166135033e-12,4.758724808035369e-12,1.5519081095783893e-08,6.015106297749328e-21,3.410438800429647e-05,0.00019275013239167282,0.00027539853507593993,6.301925603070863e-14,1.6876842912055093e-06,6.05573767332874e-07,1.3791330813939828e-07,1.4124539777648968e-06,1.025232514491966e-05,4.0125853167677045e-16,4.178583745249524e-11,0.0009640946398149752,8.976381137190353e-06,0.6596837835184011,6.2735862391171134e-06,4.0619686337220346e-07,2.3691751339412814e-10,1.8141197946278446e-05,0.02003053085532627,7.23434985087652e-08,0.011323109943480836,9.70746087979671e-06,0.32016277880007876,3.9181814702365155e-12,3.696714731499921e-10,1.7799730530568047e-06,0.0035423588534761,0.00040257639851719204,5.163225868242508e-06,3.994087643473464e-08,2.3762594357242946e-11,7.50573034393846e-09
black,object,4.0023370647485616e-25,1.1219863405949478e-14,4.234991351683105e-13,1.1984850308906507e-33,0.9434589275682911,6.220301805576557e-16,0.9927948787662493,0.9902830902255393,0.9981859543274818,0.034905355868857374,7.532930849350958e-17,4.1867027178303136e-07,0.9999999616468646,9.209329516825406e-05,0.999999984649532,4.683905153673905e-12,2.6525791644355826e-13,2.147822992928069e-06,1.604363609414603e-09,1.457433464009669e-09,1.0374560646415002e-22,3.719046936650099e-05,1.9997748990417658e-20,9.444873704699095e-05,1.9600374822166106e-20,0.9999999683088657,0.008914178872608668,4.932929992699735e-15,3.3306281584073168e-06,2.272106382049114e-14,0.42514347666050234,2.695952119463117e-07,0.20190180016716697,1.4380458641892496e-07,1.0044836995714877e-14,6.125055748215746e-16,6.169556775508256e-21,0.999999999945715,1.952944374807195e-09,0.8217420162511122,0.00010368038357164843,7.958067039281675e-08,2.400377027423872e-10,9.445204448783776e-06,0.002725247299875755,4.8101621395030704e-23,0.9999999851559143,2.014683608116305e-23,1.2870758708880832e-26,3.903574600805895e-13,2.718766335313671e-10
blue,object,4.2869035334502784e-13,6.15693492963142e-09,8.57455537755286e-11,1.2358072265148943e-22,2.4250713802076914e-05,0.0011285749982995893,1.0632771060913482e-08,1.9102203463953348e-10,5.21367211065498e-13,6.612774698749139e-09,0.11273089531770454,0.799198218589892,0.8202380526123597,0.00897553159882457,0.6331927042033431,0.016422363372423667,0.08546568456490465,3.628038698599717e-06,1.7046021190404758e-10,0.047909062480217916,3.6851929189288394e-07,9.670637826491685e-06,2.927966348577759e-12,3.5598356179596177e-07,9.597700218308695e-16,1.3260667474064824e-12,0.044298942552837145,0.022639654978534752,1.0299114561743175e-05,0.0328503381278489,0.010866955801943613,6.745243790487902e-05,0.15122245828539224,2.5810409258073594e-08,4.3397518943131063e-14,1.078747926481792e-07,1.1323187178729104e-09,1.1507160489538968e-11,0.38606700112067693,0.540868564638922,5.363649293664809e-13,0.4961185071258034,0.999995295827489,0.3357239432195875,0.0029949855061504544,0.6066272108118629,1.7977336235618728e-05,8.6582948177492e-07,0.6448265454365049,0.005891812935769533,0.4230461962589408
body,object,3.9278522649146183e-10,3.8182063629425754e-07,2.899577303193622e-08,6.012782089875288e-10,3.902315849736668e-08,1.0549870670806252e-08,1.4535014888926093e-09,1.6480222372782241e-07,2.962695345190957e-05,1.4755059423185278e-07,7.771208380795818e-09,1.1970251474686671e-06,1.2873165268423628e-07,2.492526400413579e-06,2.2545753891467186e-05,6.555676815052358e-10,7.772213990163756e-07,3.1527553214213275e-09,1.3179050708424385e-18,6.335290348534274e-08,0.000533471640741529,4.252123925182727e-05,2.44335913179121e-07,0.00010230713238125499,2.7053131777386715e-08,3.2091094774523167e-06,4.215270265516965e-06,1.5713957197241792e-06,1.2545816215211478e-11,1.092128145129603e-09,0.00038055195887717425,2.153847743601201e-05,0.0014636242751128355,6.995190142314244e-06,5.707221565340758e-05,6.121711695074916e-08,1.2979701761684433e-05,0.0016126238900353684,2.6484927488745006e-06,4.142480457410759e-05,0.0002364549442398032,0.046020493099141115,2.8588651782630474e-10,0.9995935624557309,1.198534478356487e-06,0.00012069266007901914,2.3052473316337722e-07,0.0008137738747376966,7.520505773833233e-08,1.204536568731823e-07,0.00018830434768145695
bok,object,1.227477033247185e-08,4.269761745104373e-07,2.1564235551805813e-06,2.4931231282809055e-05,2.0994764501819496e-10,2.4946613325708944e-05,3.280827611630655e-07,0.009337717154208445,1.1910018426786047e-08,6.842796516450823e-07,7.132275340767718e-10,3.7894181526167836e-05,9.953619285424145e-07,7.151894594263577e-06,0.01926374983653372,5.7482195592372476e-11,4.5112313631348766e-07,8.840561336632207e-05,7.004362776488663e-13,0.0002709201382876249,0.003873554627217262,0.00018630739596887312,0.9999618270673459,4.270583526733693e-05,1.3753621293650339e-06,9.88750097028322e-07,3.0725398426308825e-06,3.6753131910432773e-06,1.063870396934704e-08,1.0675795963962963e-07,0.0002409085356228121,0.0003753422544107653,0.00029802719274352364,5.10472884988491e-06,1.5479320991173256e-05,1.1071723013901724e-07,0.0014395601385191286,4.3432701275599006e-05,0.0032698325724776958,7.946002301544765e-05,0.00044425774368359993,0.00015756160867269806,5.130977161753867e-09,1.658575972669433e-11,4.662978220976984e-05,6.242907690039524e-06,1.3153851721782845e-06,0.0007598630632204772,4.760698502262908e-08,5.7727746786347875e-09,6.657286695417993e-07
bottle,object,1.7850745683471524e-08,5.986238699444652e-12,9.233288273130497e-17,3.236906748487614e-33,6.885759681663397e-11,4.039383491036714e-15,1.1692245867544912e-06,9.96155133839685e-23,2.5456050924315554e-09,1.4419158568854637e-06,1.2388539455377035e-14,8.848245657220501e-19,2.9757744893900655e-06,1.3121097549550874e-06,2.822491773320474e-10,2.840248393512249e-11,9.06558384536455e-12,4.964177385549988e-15,4.248890183351415e-18,3.4155010146826586e-28,1.7654660163129654e-09,3.908770630384201e-06,1.4691259770080812e-22,1.4570861270820498e-13,4.508795138531138e-11,7.334483804842761e-08,6.518412580379365e-09,3.300929923059565e-11,3.2508102251294186e-27,5.306832445507564e-25,8.41995114588477e-07,1.7958573476540566e-11,1.0440691616283546e-06,9.786150045324145e-09,6.628086231932788e-13,5.7090959242358916e-18,4.826314813072468e-09,4.962894433159821e-14,5.446214544683838e-10,1.1478296735077905e-06,8.095008014866412e-07,0.002831386893885415,1.3109123159428723e-16,0.9999766845558972,8.480353504499647e-08,5.860756375865758e-10,7.701280400334043e-16,3.5891888550447145e-07,5.134263816585169e-16,3.8814267877352034e-10,0.9999997015258957
bound,object,6.383624202364203e-08,3.9404788782956395e-05,8.524864942878549e-10,1.870875876137491e-07,2.8685896802424915e-07,6.036467981265361e-06,5.386575431287184e-07,4.34854895946119e-05,2.0830605571937076e-07,1.1173235284384054e-05,4.79902212053365e-08,2.320797137872151e-05,2.419942861647499e-07,1.0271765327285973e-05,0.0042510943376713305,3.9760050493091927e-07,6.119131658540438e-05,2.70547158146295e-06,1.6762333901063996e-12,0.00013978564764263927,0.0007643915273302826,0.0009121960230836772,2.459931128832934e-06,2.33636171236077e-06,3.8875048535242415e-07,6.899265694755444e-07,1.4905919808438985e-05,2.219693168932918e-05,2.222905351405023e-11,4.2258584772057294e-07,0.0015738814980690026,3.8017050062577715e-07,0.9999999984889403,9.57815751032561e-06,5.819478253660514e-06,4.397920306041921e-07,0.0003048326678481987,0.00018553248810462372,5.025697252633661e-06,4.666364239722244e-05,0.00010905461069075692,0.008032794994069507,9.731739978014485e-09,1.7140254440515546e-10,0.0001769846631345151,2.408428114127066e-05,2.5139269404179757e-06,0.00013134213891807917,7.786492243838474e-07,6.0821853264434825e-09,5.94985749395174e-07
bowl,object,1.9850699435196244e-08,2.8930496600712065e-06,6.860464783748313e-08,3.791632643977321e-13,1.8316166322387137e-10,1.0,1.5659121405805495e-08,3.53399753402075e-07,5.872309807317103e-16,3.1214618886211996e-09,3.5131310700145757e-07,2.1896885991921347e-05,5.693054181377071e-09,7.810087851489155e-06,0.0012057093488378368,4.251342582970175e-11,2.3352523704768136e-10,0.00016792484462333317,1.350536028867873e-12,6.204165316365462e-08,2.8809494883179627e-05,8.101303581422587e-05,1.5062111251641123e-06,2.3465599389026784e-11,4.850878401143596e-05,1.1415089428329525e-14,8.52040818471095e-07,0.0007983423679197307,6.166601659740826e-13,2.219328543832955e-11,1.680300888563452e-05,5.3304944948720995e-08,1.0597885803208637e-08,1.5649839660892067e-07,1.434409979819591e-07,1.5829760962665936e-10,7.488478952054742e-07,5.421377967860896e-07,0.9999999999998641,1.743414685030328e-05,0.0019365473756120593,2.452768176160659e-06,7.494980953869076e-09,1.4194509255799124e-15,2.9794263669237724e-06,8.876927634501765e-07,1.7577299346432918e-12,7.563295300180968e-06,1.6248889331657257e-06,1.7394876201921306e-11,6.107204006319518e-07
box,object,3.82733021255248e-10,9.832289360671572e-05,6.104571495819511e-10,7.47194615052877e-13,1.3263164651053218e-12,0.0037475186723591176,2.3798484014713655e-08,8.350780962184096e-07,1.5369475644058385e-06,6.186773445169022e-06,0.9999999999293208,9.470835013003576e-14,8.463679450851303e-08,2.534206409004129e-05,3.0378129374324804e-05,0.0017031161392306229,0.9999999971784359,2.1107700720076921e-10,2.050222308490446e-14,2.6630703290244725e-11,2.5845520844677616e-05,1.1606808921987335e-09,2.0594224882162283e-11,4.233333525455948e-08,7.958484215147554e-06,8.833534432760814e-17,0.9999999999990741,9.089385887969637e-06,3.760198293300502e-13,7.447289096691525e-15,2.2756481873629868e-07,2.8416338456314353e-08,2.541327917116651e-06,0.0002172004661742211,1.929372037714276e-08,1.414076315513806e-08,3.4294885107294024e-08,1.0080710294264903e-07,2.275377855626017e-05,0.002609310229162805,1.3203860203377601e-05,0.0005039142608719708,7.690311106191773e-08,1.112919889372278e-19,3.7754728266465466e-06,1.042550671105544e-07,9.092074606966223e-07,3.1405578578740157e-05,7.424848875428653e-07,1.2694584593781755e-09,2.865066798318952e-11
bran,object,1.540935199551638e-10,2.2724986101793714e-05,2.2892077884554005e-12,2.863381290206396e-14,8.319472482158224e-12,3.158491507807475e-05,8.028128688042978e-08,6.624043466337177e-05,4.590938697361014e-12,1.3646210535614937e-08,0.9999745563627808,7.70399266835934e-13,3.3335224887321195e-08,5.6938968599578354e-05,0.023364657829521327,3.216378173903365e-08,8.07544608453007e-07,1.4601775570774462e-05,1.7827610237208306e-14,9.110366582103206e-08,2.2770909339669976e-06,3.5664728596930216e-06,3.1670692800556144e-15,3.7656522993256364e-06,5.359879699314883e-06,1.656794551971824e-14,3.2195994737225874e-06,2.361284748541377e-05,1.2045269904429583e-10,2.835754480215392e-15,4.157245265128089e-08,6.926372201513584e-06,0.000369386913952278,1.3762626534271699e-05,1.186085057160219e-07,1.7500679618349264e-09,2.0235028387217876e-07,5.372648078203631e-10,3.904845559083404e-05,2.2010621539674435e-08,4.351497935474749e-06,6.806270923907928e-05,4.0487085543398625e-07,1.6954467374700683e-17,5.128772028145009e-06,3.2517322981886584e-05,8.510580864639775e-07,6.568931301061252e-06,1.3842394355258971e-08,6.325294628088391e-08,3.5612604051478234e-10
